event_id,iris_ground_truth
69f2291e-e15d-4372-aebe-302edf53f476,virginica
130b85c0-91b8-4d79-b530-baf31cba5860,versicolor
1d41236d-c595-478b-b937-bbf451b4eb98,setosa
42f5c408-66dc-45f8-9db1-2d6c74f6438e,virginica
ca1712ba-9053-4cb8-9aa2-b57267273b44,virginica
f3cb9a8e-9a5b-4922-aa0d-8a9bb9c90bb1,setosa
c6f4d053-1221-4d85-8847-bb84fa642cfd,setosa
f26adade-de52-4459-8576-53e0c5410fae,setosa
6f3a1b7d-29cc-4a45-9a56-66e58130ea71,virginica
1f72c8ac-8c81-4cf2-9361-f061a9a2ff2b,virginica
607d4441-a4d3-42ec-a579-cbd12e6a5f7f,setosa
4cec4fc2-6e1f-4ab2-9127-b1b8bc97a721,versicolor
f24256eb-38be-4533-b0ca-6d00fc59f13b,virginica
7e65fe63-840a-4522-a48d-cf67def54edf,virginica
5617e175-ba82-499a-a30e-bf1bc0b6f75f,virginica
3ccbdccc-9793-4778-bf27-b80487fbe98d,setosa
604c6b18-dc28-49fb-a840-abc093c10c6a,setosa
116da6fe-2b6c-4118-9848-5eaed24ec364,setosa
fc56475b-b98b-439d-a2bd-55d79cf5cf5c,virginica
acb4468f-4cab-433a-846d-7fcddcb1274a,virginica
be691295-96f9-432a-87cd-15c1205aabbf,setosa
3231fc20-c407-4d68-82dc-5051e2f19350,setosa
71c6699a-3c5e-4351-854b-5ecc655f4032,setosa
74e63bf1-a651-4dfc-96c0-b6ec69593acc,setosa
9cea3e71-3ee6-457f-8131-860381fc64e3,setosa
