event_id,iris_ground_truth
e33bd9b5-97ed-4045-96d4-28189143776c,virginica
d09d927d-291b-46c9-bf6d-fd7c7086d083,versicolor
e32212f5-f8bf-4d99-87c8-982ac9e9efe7,setosa
db13078a-a62c-4c0f-a7df-b5a73532327d,setosa
261070f6-ba26-4354-8359-3c8e2f7dc00a,setosa
18c7eead-d44e-40d0-a54c-45a5ab758513,versicolor
9e24f27b-f98f-46e0-9d81-899bd1ea31f8,setosa
ad9016fa-e2cb-47b2-9917-63ae08ac21f2,setosa
0fbf38c2-78c9-42f1-a034-0390572ec711,setosa
5700c0dc-8647-43cc-a1d1-ac9ed8117847,setosa
1a838b55-7b45-4533-8ad8-f91d740f11b0,setosa
ded6a314-5d69-4d8b-b1f8-d65c3cd86d7c,setosa
5c768807-ef52-4088-89cb-8873127df511,setosa
6f950ab0-6d6d-46aa-9831-ee1089da5709,setosa
6e03ab8d-f2da-47a7-8007-dce704c8f00c,setosa
5076690d-5e17-40ce-a84f-63509cee474a,setosa
d004c7ff-de6c-4266-a28b-8c696531b3e8,setosa
c8945cda-5b9d-40bc-8dd9-96f76c4510ed,setosa
18094bd2-2b20-40eb-a7de-a404a803d716,versicolor
a6d630e6-2a45-4122-b2f1-7dd42e64be77,setosa
d0a5898c-cd95-4a9a-b9f3-1d65427cbe6b,versicolor
b1d79869-8871-4fb0-9edd-5bdefaefb4b6,setosa
6ba445f9-2646-4dfd-8a1d-393eb77e2735,setosa
c9d06223-5c7e-45ac-8d20-71de4fa9a2cb,versicolor
f50e1662-dfec-4de4-b56e-64533449b25b,versicolor
c20fe6b4-b9dc-45c8-908b-0f26d2f1db6b,setosa
4d0314a4-c14d-4104-916e-8ee5dc2dced2,setosa
b454ce8f-53b3-4997-ac1a-7eaa5e577f01,setosa
5488c0e3-1058-407b-92da-f5108547aa95,setosa
8bf8b377-cad7-4010-9c1d-eec8a9f7576d,setosa
dcd865d5-5512-4271-8ddc-facb232e8010,setosa
de182026-0177-46e5-a28d-27c75cd0c656,setosa
5776f667-b4d7-4456-9868-cb12088e7b16,setosa
3bdabb3d-d808-44ec-b6c1-08d8427f4804,setosa
a014d729-5eb0-47ba-9f92-c8453350f7b2,setosa
fee08c22-4185-4e89-8a2f-c2adef39f9d5,setosa
895f0896-cdef-4cff-9e10-2ed2c8b17972,setosa
4a01b40d-08c9-4d2d-b94c-a73f558a9c85,setosa
75f75c47-087d-40cb-9647-14c1b650528b,setosa
4674283a-c48c-4178-bf7b-678d89454785,setosa
9e2e5078-11bd-477c-838c-7dce5a609ab9,setosa
1c2cb573-d548-4ffb-b2f7-092a348b1629,setosa
9263db02-3240-4d99-b094-15a85c2bf129,setosa
8f46598f-dd44-4e09-8902-5e43d312e72b,setosa
e7e52ff2-10f3-4ca5-b090-b62c6deee890,versicolor
ac3437d5-2c42-47d1-8a0b-89db83f99146,setosa
70fa713f-9cfa-4745-a92c-ba70131270d8,setosa
5796142f-7ed8-41b9-8583-689d2cd5c77b,setosa
d91cd6e4-64c2-4d83-9990-d266bbaaf390,setosa
8c3a8c1c-6825-49fc-ab40-5822693b6311,setosa
0ada8e66-c26b-4ea6-b327-dea6f8fc0743,virginica
69f57e67-654b-4024-ab50-a1ebffd52bdd,virginica
ee4e207c-55bd-4bdc-8a49-c28bc4bba98a,virginica
50917592-c14a-4ef8-91c9-80f377b5e3bf,versicolor
